network_code,receiver_code,receiver_type,receiver_latitude,receiver_longitude,receiver_elevation_m,p_arrival_sample,p_status,p_weight,p_travel_sec,s_arrival_sample,s_status,s_weight,source_id,source_origin_time,source_origin_uncertainty_sec,source_latitude,source_longitude,source_error_sec,source_gap_deg,source_horizontal_uncertainty_km,source_depth_km,source_depth_uncertainty_km,source_magnitude,source_magnitude_type,source_magnitude_author,source_mechanism_strike_dip_rake,source_distance_deg,source_distance_km,back_azimuth_deg,snr_db,coda_end_sample,trace_start_time,trace_category,trace_name
PB,B054,EH,37.8602,-122.1995,405.6,500.0,manual,0.58,4.5,829.0,manual,0.51,nc72817056,2017-06-16 15:02:01.440000,,37.90767,-121.97883,,,,8.21,,1.6,md,,,0.1809,20.11,74.8,[37.90000153 41.79999924 34.90000153],[[1252.]],2017-06-16 15:02:00.940000,earthquake_local,B054.PB_20170616150159_EV
AV,AUWS,BH,59.3585,-153.4608,487.0,500.0,manual,0.7,20.899999618530277,2005.0,manual,0.72,ak11670412,2015-08-06 10:21:15.000000,0.82,58.8195,-154.5453,0.4,,,127.3,0.2,2.6,ml,,,0.77832,86.39,225.5334,[20.60000038 18.         20.29999924],[[5900.]],2015-08-06 10:21:30.900000,earthquake_local,AUWS.AV_20150806102130_EV
LD,ASNY,HH,44.39812,-73.8103,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-16 02:21:00,noise,ASNY.LD_201801160221_NO
HV,ALEP,EH,19.541178,-155.644036,2894.0,600.0,manual,0.61,2.819999933242798,793.0,manual,0.0,hv61971926,2017-11-09 20:31:46.610000,,19.45733,-155.60133,,,,2.31,,1.22,md,,,0.09263,10.31,154.4,[42.79999924 43.59999847 46.59999847],[[1972.]],2017-11-09 20:31:43.430000,earthquake_local,ALEP.HV_20171109203142_EV
HV,ALEP,EH,19.541178,-155.644036,2894.0,400.0,manual,0.61,10.0600004196167,1247.0,manual,0.0,hv61496121,2016-11-26 09:46:45.860000,0.8,19.3483,-155.0974,0.39,160.0,2.04,9.37,0.49,2.5,ml,,,0.5477,60.94,110.9,[32.40000153 31.70000076 33.29999924],[[3199.]],2016-11-26 09:46:51.920000,earthquake_local,ALEP.HV_20161126094650_EV
HV,AHUD,EH,19.371567,-155.263462,1051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-04-18 22:36:00,noise,AHUD.HV_201704182236_NO
AV,AUI,EH,59.3345,-153.4299,293.0,600.0,manual,0.81,13.807000160217283,1735.9,manual,0.68,ak011efgt6d7,2011-11-10 10:18:04.755000,,59.565,-153.0719,0.47,,0.0,97.3,0.7,2.1,ml,,,0.292,32.74,38.35,[21.29999924 12.69999981  9.69999981],[[3199.]],2011-11-10 10:18:12.562000,earthquake_local,AUI.AV_20111110101811_EV
TA,158A,HH,32.7364,-80.1935,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-23 07:43:00,noise,158A.TA_201501230743_NO
HV,AHUD,EH,19.371567,-155.263462,1051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-11 11:15:00,noise,AHUD.HV_201212111115_NO
HV,ALEP,EH,19.541178,-155.644036,2894.0,600.0,manual,0.63,2.549999952316284,782.0,manual,0.0,hv61888006,2017-08-29 11:08:04.120000,,19.48267,-155.59183,,,,2.84,,0.85,md,,,0.07624,8.48,139.9,[46.59999847 46.40000153 41.90000153],[[1928.]],2017-08-29 11:08:00.670000,earthquake_local,ALEP.HV_20170829110759_EV
CN,A11,HH,47.2431,-70.1969,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 08:33:06,noise,A11.CN_20180115083306_NO
PB,B901,EH,35.6897,-120.142,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-09-10 14:41:00,noise,B901.PB_201509101441_NO
II,BORG,BH,64.7474,-21.3268,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 16:15:48,noise,BORG.II_20180115161548_NO
PB,B047,EH,40.25047,-124.17133,80.0,700.0,manual,0.73,5.510000228881836,1130.0,manual,0.61,nc72700311,2016-09-21 17:37:12.100000,,40.29467,-124.46183,,,,12.99,,1.62,md,,,0.2261,25.19,281.2,[45.20000076 42.29999924 45.20000076],[[1642.]],2016-09-21 17:37:10.610000,earthquake_local,B047.PB_20160921173709_EV
HV,ALEP,EH,19.541178,-155.644036,2894.0,800.0,manual,0.64,3.0899999141693115,1017.0,manual,0.0,hv61107186,2015-11-19 11:34:09.960000,,19.44167,-155.60833,,,,3.55,,1.0,md,,,0.1046,11.64,161.3,[22.29999924 19.39999962 21.60000038],[[2468.]],2015-11-19 11:34:05.050000,earthquake_local,ALEP.HV_20151119113404_EV
PB,B018,EH,46.9795,-123.0203,10.0,700.0,manual,0.95,7.28000020980835,1295.0,manual,0.93,uw10717728,2007-02-21 20:06:52.570000,,47.1498333,-123.4001667,0.27,64.0,0.52,37.69,0.57,1.9,md,UW,,0.3106,34.51,303.2,[42.59999847 49.5        40.        ],[[1841.]],2007-02-21 20:06:52.850000,earthquake_local,B018.PB_20070221200651_EV
PB,B901,EH,35.6897,-120.142,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-03-23 12:33:00,noise,B901.PB_201303231233_NO
TA,833A,HH,28.3236,-99.3939,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-12-29 06:22:00,noise,833A.TA_201512290622_NO
PR,AOPR,BH,18.346645,-66.753975,355.1,900.0,manual,0.79,14.40999984741211,2072.0,manual,0.12,pr15357000,2015-12-23 00:41:57.300000,,19.2215,-66.5893,0.19,281.0,1.32,40.21,5.3,3.23,md,,,0.88412,98.14,10.191,[26.         30.10000038 28.29999924],[[3698.]],2015-12-23 00:42:02.710000,earthquake_local,AOPR.PR_20151223004202_EV
AE,113A,HH,32.7683,-113.7667,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-01 07:34:00,noise,113A.AE_201604010734_NO
KZ,ABKAR,BH,49.2556,59.9431,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-07-14 05:49:00,noise,ABKAR.KZ_201007140549_NO
C1,AC04,HH,-28.2046,-71.0739,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-16 04:57:30,noise,AC04.C1_20180116045730_NO
AV,ANCK,BH,58.1981,-155.4961,869.0,509.2,autopicker,0.93,1.3880000114440918,635.2,autopicker,0.83,ak16922237,2017-09-27 16:09:46.292000,,58.1892,-155.3751,0.15,,0.0,1.1,0.6,0.5,ml,,,0.064,7.19,97.98,[20.70000076 19.29999924 20.70000076],[[1522.]],2017-09-27 16:09:42.588000,earthquake_local,ANCK.AV_20170927160941_EV
AV,AMKA,BH,51.3771,179.3,116.0,500.0,manual,0.5,23.530000686645508,2159.0,manual,0.5,607260428,2015-04-26 22:13:35.56,0.76,51.7548,178.0545,1.3972,105.822,,150.0,,4.1,mb,,,0.86,96.04,115.3,[25.60000038 28.79999924 20.10000038],[[5900.]],2015-04-26 22:13:54.090000,earthquake_local,AMKA.AV_20150426221353_EV
AV,AMKA,BH,51.3771,179.3,116.0,800.0,manual,0.35,18.25,2217.0,manual,0.52,usb000s5kv,2014-08-22 13:57:02.490000,0.47,51.89,178.433,0.23,,,111.5,3.8,2.9,ml,,,0.74555,82.76,313.209,[45.5        42.29999924 38.20000076],[[3327.]],2014-08-22 13:57:12.740000,earthquake_local,AMKA.AV_20140822135712_EV
AT,AKUT,BH,54.13517,-165.77185,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-09-28 02:12:00,noise,AKUT.AT_201109280212_NO
CN,A54,HH,47.4568,-70.4134,377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 15:30:18,noise,A54.CN_20180115153018_NO
EC,ANTS,HH,-0.4973,-78.170403,4580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-16 17:14:36,noise,ANTS.EC_20180116171436_NO
AV,AKRB,BH,54.1292,-166.0708,334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 06:41:48,noise,AKRB.AV_20180115064148_NO
HV,AHUD,EH,19.371567,-155.263462,1051.0,700.0,manual,0.62,5.650000095367432,1125.0,manual,0.0,hv61580841,2017-01-27 04:31:08.840000,,19.23333,-155.3875,,,,32.15,,1.71,md,,,0.1806,20.1,220.2,[2.79999995 1.29999995 4.5       ],[[3100.]],2017-01-27 04:31:07.490000,earthquake_local,AHUD.HV_20170127043106_EV
KZ,AKTO,BH,50.434799,58.016399,379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-16 08:50:36,noise,AKTO.KZ_20180116085036_NO
BK,BL67,HH,37.87492,-122.24318,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-12-27 09:05:00,noise,BL67.BK_201112270905_NO
HV,AHUD,EH,19.371567,-155.263462,1051.0,596.0,autopicker,0.72,1.6699999570846558,804.0,autopicker,0.67,hv70463687,2018-07-23 07:19:49.530000,,19.417,-155.293,,,,0.88,,1.89,md,,,0.0531,5.91,328.0,[ 8.80000019 13.30000019 12.5       ],[[2023.]],2018-07-23 07:19:45.240000,earthquake_local,AHUD.HV_20180723071944_EV
ZQ,AAM3,HH,-26.374,27.416,1597.1,1264.3,autopicker,0.92,4.980000019073486,1371.3,autopicker,0.63,336478,2007-02-27 16:53:06.400,0.97,-26.336,27.478,0.4,237.0,,2.0,,1.3,ml,,,0.0674,7.48,55.785,[35.29999924 35.40000153 32.5       ],[[2956.]],2007-02-27 16:52:58.737000,earthquake_local,AAM3.ZQ_20070227165257_EV
ET,BCRT,EH,35.766,-84.576,409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-16 02:06:00,noise,BCRT.ET_20180116020600_NO
PB,B065,EH,36.743667,-121.474167,643.0,600.0,manual,0.7,9.420000076293944,1328.0,manual,0.54,nc72582331,2016-01-20 18:48:23.630000,,36.43667,-120.999,,,,3.87,,1.7,md,,,0.491,54.49,129.0,[18.29999924 15.69999981 15.5       ],[[3199.]],2016-01-20 18:48:27.050000,earthquake_local,B065.PB_20160120184826_EV
TA,B05D,BH,48.2641,-122.096,153.0,700.0,manual,1.0,8.449999809265137,1358.0,manual,0.64,uw60480361,2012-10-24 19:07:06.470000,,48.2258333,-122.7528333,0.23,57.0,0.41,24.29,1.0,1.06,md,UW,,0.4407,48.97,264.8,[18.89999962 19.29999924 15.19999981],[[3199.]],2012-10-24 19:07:07.920000,earthquake_local,B05D.TA_20121024190706_EV
KR,ARK,BH,41.799999,71.966667,1420.0,500.0,manual,0.5,10.199999809265137,1270.0,manual,0.5,604102469,2013-10-13 17:55:00.00,1.01,41.8634,72.6755,0.6694,68.338,4.50313,13.04,,3.0,mb,,,0.54,59.3,263.2,[46.70000076 45.20000076 38.        ],[[3788.]],2013-10-13 17:55:05.200000,earthquake_local,ARK.KR_20131013175504_EV
7F,ARK1,EH,35.266602,-92.403503,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-07-28 17:48:12,noise,ARK1.7F_20100728174812_NO
PB,B065,EH,36.743667,-121.474167,643.0,800.0,manual,0.68,3.759999990463257,1073.0,manual,0.59,nc71913836,2013-01-02 03:21:04.360000,0.0,36.776,-121.288,,125.0,,8.2,0.29,2.5,md,,,0.1532,17.02,77.8,[59.20000076 63.40000153 59.29999924],[[1526.]],2013-01-02 03:21:00.120000,earthquake_local,B065.PB_20130102032059_EV
7F,ARK1,EH,35.266602,-92.403503,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-07-25 17:25:48,noise,ARK1.7F_20100725172548_NO
CC,ASBU,BH,43.82056,-121.368401,1538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-25 21:43:00,noise,ASBU.CC_201503252143_NO
HV,AHUD,EH,19.371567,-155.263462,1051.0,503.0,autopicker,0.91,1.3700000047683716,593.0,autopicker,0.6,hv70260012,2018-06-11 02:24:27.160000,,19.401,-155.26767,,,,1.42,,2.44,ml,,,0.02955,3.29,352.0,[30.39999962 27.39999962 29.60000038],[[1365.]],2018-06-11 02:24:23.500000,earthquake_local,AHUD.HV_20180611022422_EV
LD,ASNY,HH,44.39812,-73.8103,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-31 14:10:00,noise,ASNY.LD_201808311410_NO
AV,ANON,EH,56.919,-158.1737,445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-16 08:39:24,noise,ANON.AV_20180116083924_NO
ZQ,AAM2,HH,-26.473,27.491,1555.2,986.1,autopicker,0.94,3.0899999141693115,1093.1,autopicker,0.86,398394,2007-04-02 05:29:33.800,0.62,-26.398,27.394,0.2,123.0,1.6,2.0,,1.8,ml,,,0.1149,12.75,310.6361,[41.40000153 41.90000153 40.5       ],[[2400.]],2007-04-02 05:29:27.029000,earthquake_local,AAM2.ZQ_20070402052926_EV
C1,BI05,HH,-36.74784,-73.19051,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 01:50:36,noise,BI05.C1_20180115015036_NO
7F,ARK1,EH,35.266602,-92.403503,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-07-27 03:18:48,noise,ARK1.7F_20100727031848_NO
PB,B065,EH,36.743667,-121.474167,643.0,600.0,manual,0.25,8.460000038146973,1238.0,manual,0.0,nc71871685,2012-10-30 06:09:18.700000,0.0,36.46,-121.038,,43.0,,6.5,0.39,2.7,md,,,0.4523,50.21,129.1,[49.         53.20000076 46.5       ],[[3086.]],2012-10-30 06:09:21.160000,earthquake_local,B065.PB_20121030060921_EV
C1,AC04,HH,-28.2046,-71.0739,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-04-22 14:44:00,noise,AC04.C1_201804221444_NO
PB,B054,EH,37.8602,-122.1995,405.6,400.0,manual,0.56,2.990000009536743,626.0,manual,0.0,nc72408975,2015-03-10 22:02:17.680000,,37.75267,-122.14,,,,4.28,,1.31,md,,,0.1171,13.03,156.4,[28.89999962 39.59999847 36.40000153],[[1113.]],2015-03-10 22:02:16.670000,earthquake_local,B054.PB_20150310220215_EV
SN,AMD,EH,36.4526,-116.2818,775.4,700.0,manual,0.95,14.913439750671388,1731.872,manual,0.0,nn00424113,2013-09-16 08:27:53.977000,,35.6958,-116.5072,0.0132,296.18,0.0,16.6,5.0,0.5,ml,NN,,0.779,86.39,193.47,[17.29999924 23.         22.20000076],[[3018.]],2013-09-16 08:28:01.890440,earthquake_local,AMD.SN_20130916082800_EV
AV,AKMO,BH,54.0903,-166.0126,277.0,600.0,manual,0.7,13.100000381469728,1603.0,manual,0.08,usb000sbfh,2014-09-02 12:47:19.000000,1.24,53.5133,-165.6344,0.61,,9.113,41.6,10.0,3.2,ml,,,0.62016,68.84,158.945,[55.5        56.59999847 49.79999924],[[3048.]],2014-09-02 12:47:26.100000,earthquake_local,AKMO.AV_20140902124726_EV
PR,AOPR,BH,18.346645,-66.753975,355.1,1000.0,manual,0.4,17.989999771118164,2500.0,manual,0.0,pr2017239003,2017-08-27 13:39:54.300000,,19.343,-67.349,,,,40.0,,3.2,md,,,1.1455,127.15,330.0,[25.79999924 24.29999924 23.89999962],[[4973.]],2017-08-27 13:40:02.290000,earthquake_local,AOPR.PR_20170827134002_EV
AV,ANCK,BH,58.1981,-155.4961,869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-11 13:55:00,noise,ANCK.AV_201712111355_NO
ZQ,AAM1,HH,-26.427,27.423,1169.9,1110.0,autopicker,0.71,5.0,1332.0,autopicker,0.71,394586,2009-05-02 17:42:47.200,0.97,-26.394,27.586,0.4,103.0,2.0,2.0,,1.9,ml,,,0.1502,16.67,77.3651,[29.20000076 27.60000038 28.10000038],[[2051.]],2009-05-02 17:42:41.100000,earthquake_local,AAM1.ZQ_20090502174240_EV
GO,AKH,HH,41.41,43.4929,1720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-03-14 20:04:00,noise,AKH.GO_201203142004_NO
ZQ,AAM2,HH,-26.473,27.491,1555.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-11-23 23:00:00,noise,AAM2.ZQ_200811232300_NO
CI,ALP,HH,34.68708,-118.29946,753.0,700.0,manual,0.62,7.840000152587891,1284.0,manual,0.56,ci37499696,2015-12-08 08:27:08.440000,,34.37383,-118.602,,,,1.97,,1.44,ml,,,0.4,44.49,218.4,[13.         10.60000038  3.4000001 ],[[2800.]],2015-12-08 08:27:09.280000,earthquake_local,ALP.CI_20151208082708_EV
HV,AHUD,EH,19.371567,-155.263462,1051.0,700.0,manual,0.55,2.359999895095825,936.0,manual,0.57,hv70083951,2018-04-17 18:20:53.020000,,19.42217,-155.27283,,,,12.74,,0.87,md,,,0.05111,5.69,350.1,[25.39999962 19.60000038 19.70000076],[[2344.]],2018-04-17 18:20:48.380000,earthquake_local,AHUD.HV_20180417182047_EV
PB,B072,EH,35.831,-120.345,398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-09-08 05:58:00,noise,B072.PB_200709080558_NO
TA,214A,HH,31.9559,-112.8115,543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-10-08 01:14:00,noise,214A.TA_201610080114_NO
PB,B045,EH,40.436,-123.9965,29.4,900.0,manual,0.67,6.210000038146973,1386.0,manual,0.59,nc72188026,2014-03-19 15:10:45.810000,,40.2955,-124.3015,,,,8.72,,1.77,md,,,0.2721,30.24,238.8,[36.         33.5        33.90000153],[[1856.]],2014-03-19 15:10:43.020000,earthquake_local,B045.PB_20140319151042_EV
BK,BL67,HH,37.87492,-122.24318,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-09 17:48:00,noise,BL67.BK_201201091748_NO
HV,AHUD,EH,19.371567,-155.263462,1051.0,800.0,autopicker,0.89,1.600000023841858,969.0,autopicker,0.78,hv70396296,2018-07-11 07:53:11.410000,,19.417,-155.26933,,,,0.87,,2.11,ml,,,0.04553,5.07,353.0,[18.89999962 19.         22.79999924],[[2276.]],2018-07-11 07:53:05.010000,earthquake_local,AHUD.HV_20180711075304_EV
C0,BRIGG,HH,40.581287,-104.319221,1479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 02:01:48,noise,BRIGG.C0_20180115020148_NO
HV,ALEP,EH,19.541178,-155.644036,2894.0,900.0,manual,0.62,8.720000267028809,1617.0,manual,0.58,hv62012031,2017-12-19 08:37:05.430000,,19.30983,-155.21967,,,,2.49,,1.4,md,,,0.4619,51.4,120.1,[36.09999847 37.79999924 35.20000076],[[3199.]],2017-12-19 08:37:05.150000,earthquake_local,ALEP.HV_20171219083704_EV
PB,B067,EH,36.765,-121.5655,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-08-04 22:03:00,noise,B067.PB_201608042203_NO
PB,B049,EH,40.23731,-123.81968,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-01-17 00:17:00,noise,B049.PB_201001170017_NO
PB,B040,EH,41.8308,-122.40383,820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-03 21:41:00,noise,B040.PB_201603032141_NO
GL,AMC,HH,16.04768,-61.665901,1346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 18:56:06,noise,AMC.GL_20180115185606_NO
ZQ,AAM1,HH,-26.427,27.423,1169.9,1051.9,autopicker,0.83,3.220000028610229,1195.9,autopicker,0.56,366492,2009-04-04 06:01:30.100,2.11,-26.366,27.492,0.9,95.0,3.7,2.0,,2.5,ml,,,0.0869,9.65,45.5458,[41.         41.90000153 39.79999924],[[2679.]],2009-04-04 06:01:22.801000,earthquake_local,AAM1.ZQ_20090404060121_EV
TA,A06A,BH,49.0983,-121.4804,576.0,600.0,manual,0.95,6.75,1108.0,manual,0.93,uw10736828,2007-09-29 19:42:34.650000,,48.7525,-121.6235,0.32,64.0,0.81,0.74,2.21,1.6,md,UW,,0.3587,39.86,195.2,[31.79999924 30.60000038 36.79999924],[[1803.]],2007-09-29 19:42:35.400000,earthquake_local,A06A.TA_20070929194234_EV
PB,B046,EH,40.32197,-124.2843,44.0,500.0,manual,0.73,2.630000114440918,708.0,manual,0.55,nc72770921,2017-03-06 03:12:15.190000,,40.308,-124.40083,,,,7.76,,2.04,md,,,0.09019,10.03,261.0,[36.         38.20000076 38.40000153],[[1242.]],2017-03-06 03:12:12.820000,earthquake_local,B046.PB_20170306031211_EV
PB,B067,EH,36.765,-121.5655,126.2,500.0,manual,0.59,4.070000171661377,816.0,manual,0.0,nc71692026,2011-12-06 01:44:12.100000,,36.6885,-121.3231667,0.08,49.0,0.24,4.19,0.63,1.38,md,NC,,0.209,23.25,111.5,[24.20000076 25.89999962 24.20000076],[[1944.]],2011-12-06 01:44:11.170000,earthquake_local,B067.PB_20111206014410_EV
7F,ARK2,EH,35.334099,-92.298203,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-07-30 21:05:36,noise,ARK2.7F_20100730210536_NO
S,AUALB,HH,-34.9995,117.9046,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-12-22 19:20:00,noise,AUALB.S_201512221920_NO
AV,ACH,BH,58.21,-155.3281,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-01 09:32:00,noise,ACH.AV_201709010932_NO
AV,AMKA,BH,51.3771,179.3,116.0,900.0,manual,0.5,31.75,3401.0,autopicker,0.75,606918492,2014-06-24 05:53:19.19,0.88,52.1176,176.5211,1.2912,170.288,,10.0,,4.1,mb,,,1.88,208.84,112.1,[36.29999924 37.5        30.29999924],[[5900.]],2014-06-24 05:53:41.940000,earthquake_local,AMKA.AV_20140624055340_EV
PB,B076,EH,35.9398,-120.4248,445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-07-11 06:45:00,noise,B076.PB_200907110645_NO
AV,AU22,BH,59.3702,-153.3573,105.0,500.0,manual,0.5,24.989999771118164,2476.0,autopicker,0.78,606595860,2015-01-24 18:58:13.39,0.73,60.5451,-151.5425,0.9334,41.082,4.67666,74.57,,3.7,ml,,,1.49,165.56,218.5,[16.5 16.5 18. ],[[5900.]],2015-01-24 18:58:33.380000,earthquake_local,AU22.AV_20150124185832_EV
AX,AUA2,EH,12.441678,-69.917442,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-15 11:15:30,noise,AUA2.AX_20180115111530_NO
